기업명,인증연도,분야
대덕아스콘환경,2021,폐요업
대전아스콘,2021,폐요업
연산아스콘,2021,폐요업
케이씨그린에너지,2021,폐수처리오니
수이노베이션,2021,폐수처리오니
대한실업 성주지점,2021,폐플라스틱
대한실업 성주지점,2021,폐플라스틱
동국제강 인천공장,2021,폐금속
동국제강 봉강공장,2021,폐금속
동국제강 포항공장,2021,폐금속
대광아스콘,2021,폐요업
인천아스콘,2021,폐요업
세진플러스,2021,폐섬유
광명화학공업사,2021,폐플라스틱
이에스알산업,2021,폐플라스틱
가나실업,2021,폐고무
깨끗한나라 청주공장,2021,폐지
깨끗한나라 청주공장,2021,폐지
대림,2021,폐유
신호정유,2021,폐유
덕은인터라인정유,2021,폐유
대한제강 녹산공장,2021,폐금속
대한제강 신평공장,2021,폐금속
대한제강 평택공장,2021,폐금속
와이케이스틸,2021,폐금속
포스코인터내셔널,2021,폐금속
포스코인터내셔널,2021,폐금속
청해광업,2022,수산물가공잔재물
부일레미콘,2022,폐요업
아산아스콘,2022,폐요업
누보켐 검단,2022,폐요업
창주산업,2022,폐요업
원전기업,2022,폐요업
홍익휴먼스,2022,수산물가공잔재물
현대제철,2022,폐금속
현대제철,2022,폐금속
현대제철,2022,폐금속
현대제철,2022,폐금속
현대제철,2022,폐금속
현대제철,2022,폐금속
클린코리아 안강공장,2022,폐유
세일정유,2022,폐유
더원,2022,폐고무
누보켐 인천,2022,폐요업
누보켐 검단,2022,폐요업
삼강아스콘,2022,폐요업
드림아스콘,2022,폐요업
인천테크,2022,폐요업
승진그린텍,2022,유기성폐기물
대신피씨티,2022,폐요업
검단아스콘,2022,폐요업
동국제강 인천공장,2022,폐금속
공주의당아스콘,2022,폐요업
대화,2022,폐요업
도형,2022,폐요업
현대제철,2022,폐금속
현대제철,2022,폐금속
현대제철,2022,폐금속
현대제철,2022,폐금속
새빗켐 2공장,2022,폐전지
성신씨엠,2022,폐요업
한국제강,2022,폐금속
유림테크,2022,폐요업
대원인프라,2022,폐요업
동아개발,2022,폐요업
이앤티,2022,유기성폐기물
이에스알산업,2022,폐플라스틱
현대엘앤씨 엘텍세종사업장,2022,폐플라스틱
승일아스콘,2022,폐요업
부림산기,2022,폐유리
동국제강 포항공장,2022,폐금속
동국제강 포항공장,2022,폐금속
동국제강 포항공장,2022,폐금속
알앤이 1공장,2022,폐금속
알앤이 옥산공장,2022,폐플라스틱
시경아스콘,2022,폐요업
"무지개바이오비료 
영농조합법인",2022,유기성폐기물
