기업명,시작,종료
세아아스콘,,
중앙아스콘,,
한국가로수보호,,
가림환경개발,,
도형,2017-05-31,2026-05-30
삼원환경산업,2017-07-03,2026-07-02
대흥환경산업,2017-07-03,2026-07-02
미성환경(합,2017-07-03,2026-07-02
도로산업,2017-08-07,2026-08-06
세영개발,2017-08-07,2026-08-06
호성,2017-08-07,2026-08-06
도성이엔에이,2017-08-07,2026-08-06
충청환경산업,2017-08-07,2026-08-06
부경아스콘,2017-08-07,2026-08-06
옥산아스콘,2017-08-07,2026-08-06
남양아스콘,2017-08-07,2026-08-06
우신개발,2017-08-07,2026-08-06
그린이엔티,2017-09-11,2026-09-10
신성아스콘,2018-02-20,2027-02-19
인평산업,2018-02-20,2027-02-19
충경산업,2018-02-20,2027-02-19
제일기업,2018-02-20,2027-02-19
농산아스콘,2018-02-20,2027-02-19
제일,2018-03-21,2024-03-20
흥진산업,2018-03-21,2024-03-20
국보환경,2018-06-04,2024-06-03
보령환경산업,2018-11-05,2024-11-04
대원농산,2018-11-27,2024-11-26
윤성산업개발,2019-01-23,2025-01-22
드림라임,2019-01-23,2025-01-22
그린파워텍,2019-07-15,2025-07-14
해솔아스콘,2019-07-15,2025-07-14
진에너텍,2019-08-26,2025-08-25
세아산업 약목,2019-08-26,2025-08-25
윤성산업개발,2019-10-24,2025-10-23
효석,2019-10-24,2025-10-23
동서개발,2019-10-24,2025-10-23
엠제이,2019-12-02,2025-12-01
미래텍,2019-12-22,2025-12-21
대동산업,2019-12-22,2025-12-21
경동산업,,
경동산업,,
경동산업,,
부성리싸이클링 호남공장,,
금산환경재생산업 제2공장,,
이우드,,
국제리프라텍 평택지점,,
대원콘크리트,,
에코우리산업,,
부영개발,,
한청알에프,,
현대제철 인천공장,,
현대제철 인천공장,,
유림테크,,
현대제철 당진공장,,
그린환경,,
에이알콘크리트,,
"삼광레미콘아스콘
(구. 효신레미콘",,
현대제철 포항1공장,,
현대제철 포항1공장,,
현대제철 포항2공장,,
우광산업,,
만아 동북공장,,
강림퓨얼테크,,
완수산업아스콘,,
바래봉비료 영농조합법인,2021-02-18,2027-02-17
보광산업,,
어스그린코리아,,
성창보드,2021-03-29,2024-03-28
