기업명,인증연도,리콜종류,품목
컴포인트,2023,명령에따른리콜,유아용 삼륜차(유아용 삼륜차)
미리글로벌,2023,명령에따른리콜,유아완구(완구)
동심무역,2023,명령에따른리콜,기타완구(작동완구)(완구)
보스꼬,2023,명령에따른리콜,유모차(유모차)
케이엘뮤직코퍼레이션,2023,명령에따른리콜,악기류(학용품)
아트박스,2023,명령에따른리콜,공책(학용품)
유아림,2023,명령에따른리콜,어린이용 가죽제품(어린이용 가죽제품)
유어체어스,2023,명령에따른리콜,의자(어린이용 가구)
대영,2023,명령에따른리콜,쇼파(어린이용 가구)
샘글로벌,2023,명령에따른리콜,의자(어린이용 가구)
무한,2023,명령에따른리콜,어린이용 장신구(어린이용 장신구)
씨케이세일즈,2023,명령에따른리콜,기타 어린이제품(기타 어린이제품)
꼬맹이팩토리,2023,명령에따른리콜,기타 어린이제품(기타 어린이제품)
리파코,2023,명령에따른리콜,기타 어린이제품(기타 어린이제품)
와우트레이딩컴퍼니,2023,명령에따른리콜,속눈썹 열 성형기(속눈썹 열 성형기)
아이비케어,2023,자발적리콜,아이비케어 눈마사지기
현주무역,2023,자발적리콜,동물슬리퍼
나눅스네트웍스,2023,자발적리콜,11 Speed Bonded HollowtechⅡ Road Cranksets
아성,2023,자발적리콜,합성수지제품 욕실화
바스존,2023,자발적리콜,애니멀욕실화
6형제바둑,2023,자발적리콜,바둑장기세트
레이트,2023,명령에따른리콜,속눈썹 열 성형기(속눈썹 열 성형기)
쿠팡,2023,명령에따른리콜,속눈썹 열 성형기(속눈썹 열 성형기)
인까사,2023,명령에따른리콜,가구(높이 762mm이상의 가정용 서랍장 및 사무용 파일링 캐비닛에 한정)(가구(높이 762mm이상의 가정용 서랍장 및 사무용 파일링 캐비닛에 한정))
삼성에스티에스,2023,명령에따른리콜,휴대용 예초기의 날(휴대용 예초기의 날)
쿠팡,2023,명령에따른리콜,전동킥보드(전동보드)
한유스포츠,2023,명령에따른리콜,승차용 안전모(승차용 안전모)
